,Class,Cap-Shape,Cap-Surface,Cap-Color,Bruises,Odor,Gill-Attachment,Gill-Spacing,Gill-Size,Gill-Color,Stalk-Shape,Stalk-Root,Stalk-Surface-Above-Ring,Stalk-Surface-Below-Ring,Stalk-Color-Above-Ring,Stalk-Color-Below-Ring,Veil-Color,Ring-Number,Ring-Type,Spore-Print-Color,Population,Habitat
73,edible,convex,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
74,edible,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
75,edible,flat,smooth,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
76,edible,convex,smooth,white,bruises,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
77,edible,flat,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
78,poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
79,edible,flat,scaly,brown,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
80,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
81,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
82,edible,flat,fibrous,gray,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
83,edible,convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
84,edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
85,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
86,edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
87,edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
88,edible,flat,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
89,edible,sunken,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
90,edible,convex,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
91,edible,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
92,edible,convex,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
93,edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
94,edible,convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
95,edible,convex,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
96,edible,flat,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
97,edible,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
98,edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
99,edible,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
100,edible,convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
101,edible,bell,smooth,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
102,edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
103,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
104,edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
105,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
106,edible,convex,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
107,edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
108,edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
109,edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
110,edible,convex,smooth,yellow,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
111,edible,sunken,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
112,edible,convex,fibrous,white,bruises,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
113,edible,convex,smooth,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
114,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
115,edible,convex,scaly,yellow,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
116,edible,sunken,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
117,edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
118,edible,convex,smooth,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
119,edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
120,poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
121,edible,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
122,poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
123,edible,flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
124,edible,convex,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
125,edible,convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
126,edible,bell,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
127,edible,flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
128,edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
129,edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
130,edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
131,edible,bell,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
132,edible,flat,smooth,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
133,edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
134,edible,flat,smooth,white,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
135,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
136,edible,flat,fibrous,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
137,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
138,poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
139,edible,bell,smooth,yellow,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
140,edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
141,edible,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
142,edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
143,edible,flat,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
144,edible,convex,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
145,edible,convex,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
146,edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
147,edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
148,edible,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
149,edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
150,edible,convex,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
151,edible,convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
152,edible,convex,scaly,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
153,edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
154,edible,convex,smooth,white,bruises,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
155,edible,convex,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
156,edible,bell,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
157,edible,convex,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
158,edible,bell,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
159,edible,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
160,edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
161,edible,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
162,edible,convex,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
163,edible,flat,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
164,edible,convex,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
165,edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
166,edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
167,edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
168,edible,convex,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
169,edible,bell,smooth,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
170,edible,convex,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
171,edible,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
172,edible,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
173,edible,bell,scaly,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
174,edible,flat,scaly,yellow,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
175,edible,bell,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
176,edible,bell,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
177,edible,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
178,edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
179,edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
180,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
181,edible,sunken,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
182,edible,flat,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
183,edible,convex,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
184,edible,flat,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
185,poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
186,edible,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
187,edible,flat,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
188,edible,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
189,edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
190,edible,convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
191,edible,convex,smooth,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
192,edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
193,edible,flat,smooth,yellow,bruises,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
